[2026-09-15T12:40:22+00:00] +     0.0s evaluation_start: message=Executing candidate in the fixed simulator cases=4
[2026-09-15T12:40:23+00:00] storage_status: activity=scheduling case_000 host_free_gib=31.913 output_free_gib=882.479 run_growth_mib=0.0 growth_sample_age_s=0.0 active_workers=2 host_checkpoint_gib=10.125 output_checkpoint_gib=1.125
[2026-09-15T12:40:23+00:00] +     0.1s case_start: message=Evaluating case_000 case_id=case_000 index=1 total=4 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 1.0, 'correlation': 0.0, 'budget': 50000, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'environment_seed': 11, 'optimizer_seed': 1011}
[2026-09-15T12:40:23+00:00] +     0.1s run_started: message=case_000: run_started case_id=case_000 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 1.0, 'correlation': 0.0, 'budget': 50000, 'environment_seed': 11, 'optimizer_seed': 1011, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'progress_interval': 5000, 'bounds': [0.0, 100.0], 'height_severity': 7.0, 'width_severity': 1.0, 'chi': 0.729843788, 'c': 2.05} baseline=book_mpso_5_plus_0 budget=50000
[2026-09-15T12:40:23+00:00] +     0.2s environment_change: message=case_000: environment_change case_id=case_000 evaluations=5000 completed_environment=0 environment_offline_error=1.7337 environment_initial_error=96.57 environment_final_error=8.9941e-07 first_evaluation=1 environment_evaluations=5000 offline_error=1.7337 swarm_count=3
[2026-09-15T12:40:23+00:00] +     0.3s environment_change: message=case_000: environment_change case_id=case_000 evaluations=10000 completed_environment=1 environment_offline_error=0.84766 environment_initial_error=1.6314 environment_final_error=0.57891 first_evaluation=5001 environment_evaluations=5000 offline_error=1.2907 swarm_count=4
[2026-09-15T12:40:23+00:00] +     0.4s environment_change: message=case_000: environment_change case_id=case_000 evaluations=15000 completed_environment=2 environment_offline_error=1.7067 environment_initial_error=12.577 environment_final_error=1.6274 first_evaluation=10001 environment_evaluations=5000 offline_error=1.4293 swarm_count=4
[2026-09-15T12:40:23+00:00] +     0.5s environment_change: message=case_000: environment_change case_id=case_000 evaluations=20000 completed_environment=3 environment_offline_error=0.23797 environment_initial_error=13.237 environment_final_error=9.1146e-05 first_evaluation=15001 environment_evaluations=5000 offline_error=1.1315 swarm_count=5
[2026-09-15T12:40:23+00:00] +     0.7s environment_change: message=case_000: environment_change case_id=case_000 evaluations=25000 completed_environment=4 environment_offline_error=6.7391 environment_initial_error=8.2633 environment_final_error=6.3955 first_evaluation=20001 environment_evaluations=5000 offline_error=2.253 swarm_count=5
[2026-09-15T12:40:23+00:00] +     0.8s environment_change: message=case_000: environment_change case_id=case_000 evaluations=30000 completed_environment=5 environment_offline_error=5.7688 environment_initial_error=9.4557 environment_final_error=5.5692 first_evaluation=25001 environment_evaluations=5000 offline_error=2.839 swarm_count=5
[2026-09-15T12:40:25+00:00] +     0.9s environment_change: message=case_000: environment_change case_id=case_000 evaluations=35000 completed_environment=6 environment_offline_error=0.64606 environment_initial_error=6.9349 environment_final_error=0.00034373 first_evaluation=30001 environment_evaluations=5000 offline_error=2.5257 swarm_count=6
[2026-09-15T12:40:25+00:00] +     1.1s environment_change: message=case_000: environment_change case_id=case_000 evaluations=40000 completed_environment=7 environment_offline_error=0.34131 environment_initial_error=16.198 environment_final_error=0.0033849 first_evaluation=35001 environment_evaluations=5000 offline_error=2.2527 swarm_count=6
[2026-09-15T12:40:25+00:00] +     1.2s environment_change: message=case_000: environment_change case_id=case_000 evaluations=45000 completed_environment=8 environment_offline_error=2.1035 environment_initial_error=31.524 environment_final_error=1.7844 first_evaluation=40001 environment_evaluations=5000 offline_error=2.2361 swarm_count=6
[2026-09-15T12:40:26+00:00] +     1.3s environment_change: message=case_000: environment_change case_id=case_000 evaluations=50000 completed_environment=9 environment_offline_error=4.0588 environment_initial_error=29.396 environment_final_error=3.7054 first_evaluation=45001 environment_evaluations=5000 offline_error=2.4184 swarm_count=6
[2026-09-15T12:40:26+00:00] +     1.3s run_completed: message=case_000: run_completed case_id=case_000 evaluations=50000 offline_error=2.4184 response_count=41 swarm_count=6
[2026-09-15T12:40:26+00:00] +     1.4s case_complete: message=case_000 complete case_id=case_000 offline_error=2.4184
[2026-09-15T12:40:26+00:00] +     1.4s case_start: message=Evaluating case_001 case_id=case_001 index=2 total=4 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 1.0, 'correlation': 0.0, 'budget': 50000, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'environment_seed': 22, 'optimizer_seed': 1022}
[2026-09-15T12:40:26+00:00] +     1.4s run_started: message=case_001: run_started case_id=case_001 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 1.0, 'correlation': 0.0, 'budget': 50000, 'environment_seed': 22, 'optimizer_seed': 1022, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'progress_interval': 5000, 'bounds': [0.0, 100.0], 'height_severity': 7.0, 'width_severity': 1.0, 'chi': 0.729843788, 'c': 2.05} baseline=book_mpso_5_plus_0 budget=50000
[2026-09-15T12:40:26+00:00] +     1.6s environment_change: message=case_001: environment_change case_id=case_001 evaluations=5000 completed_environment=0 environment_offline_error=1.4749 environment_initial_error=105.53 environment_final_error=1.2448e-06 first_evaluation=1 environment_evaluations=5000 offline_error=1.4749 swarm_count=3
[2026-09-15T12:40:26+00:00] +     1.7s environment_change: message=case_001: environment_change case_id=case_001 evaluations=10000 completed_environment=1 environment_offline_error=5.3633 environment_initial_error=304.25 environment_final_error=4.5985 first_evaluation=5001 environment_evaluations=5000 offline_error=3.4191 swarm_count=6
[2026-09-15T12:40:26+00:00] +     1.9s environment_change: message=case_001: environment_change case_id=case_001 evaluations=15000 completed_environment=2 environment_offline_error=9.7007 environment_initial_error=14.184 environment_final_error=9.1894 first_evaluation=10001 environment_evaluations=5000 offline_error=5.513 swarm_count=6
[2026-09-15T12:40:26+00:00] +     2.0s environment_change: message=case_001: environment_change case_id=case_001 evaluations=20000 completed_environment=3 environment_offline_error=8.8537 environment_initial_error=24.517 environment_final_error=4.3235 first_evaluation=15001 environment_evaluations=5000 offline_error=6.3482 swarm_count=8
[2026-09-15T12:40:26+00:00] +     2.2s environment_change: message=case_001: environment_change case_id=case_001 evaluations=25000 completed_environment=4 environment_offline_error=3.1642 environment_initial_error=31.674 environment_final_error=0.16319 first_evaluation=20001 environment_evaluations=5000 offline_error=5.7114 swarm_count=9
[2026-09-15T12:40:27+00:00] +     2.4s environment_change: message=case_001: environment_change case_id=case_001 evaluations=30000 completed_environment=5 environment_offline_error=1.1176 environment_initial_error=38.874 environment_final_error=0.10082 first_evaluation=25001 environment_evaluations=5000 offline_error=4.9457 swarm_count=10
[2026-09-15T12:40:27+00:00] +     2.5s environment_change: message=case_001: environment_change case_id=case_001 evaluations=35000 completed_environment=6 environment_offline_error=1.1504 environment_initial_error=33.217 environment_final_error=0.029053 first_evaluation=30001 environment_evaluations=5000 offline_error=4.4035 swarm_count=10
[2026-09-15T12:40:27+00:00] +     2.6s environment_change: message=case_001: environment_change case_id=case_001 evaluations=40000 completed_environment=7 environment_offline_error=2.9419 environment_initial_error=21.509 environment_final_error=2.455 first_evaluation=35001 environment_evaluations=5000 offline_error=4.2208 swarm_count=10
[2026-09-15T12:40:27+00:00] +     2.8s environment_change: message=case_001: environment_change case_id=case_001 evaluations=45000 completed_environment=8 environment_offline_error=0.76832 environment_initial_error=32.636 environment_final_error=0.0022365 first_evaluation=40001 environment_evaluations=5000 offline_error=3.8372 swarm_count=10
